title,make,model,year,condition,transmission,price
Lexus ES 330 2006,Lexus,ES 330,2006,Local Used,Automatic,6500000.0
Lexus RX 350 F Sport AWD 2018 Black,Lexus,RX 350,2018,Local Used,Automatic,31000000.0
Lexus RX 350 FWD 2012 Gray,Lexus,RX 350,2012,Foreign Used,Automatic,20500000.0
Toyota 4-Runner SR5 V8 4x4 2005 Blue,Toyota,4-Runner SR5,2005,Local Used,Automatic,5800000.0
Toyota Sienna 2003 Green,Toyota,Sienna,2003,Local Used,Automatic,5000000.0
Lexus GX 460 Luxury 2014 Black,Lexus,GX 460,2014,Local Used,Automatic,23500000.0
Mercedes-Benz GL-Class 2008 Blue,Mercedes Benz,GL-Class,2008,Local Used,Automatic,5000000.0
Toyota Highlander 2014 Red,Toyota,Highlander,2014,Foreign Used,Automatic,24450000.0
Hyundai Elantra 2011 Black,Hyundai,Elantra,2011,Foreign Used,Automatic,9000000.0
Hyundai Elantra 2011 Silver,Hyundai,Elantra,2011,Foreign Used,Automatic,9000000.0
Toyota Camry XSE FWD 2020 White,Toyota,Camry XSE,2020,Foreign Used,Automatic,35000000.0
Toyota Venza 2011 Gray,Toyota,Venza,2011,Local Used,Automatic,9500000.0
Hyundai Sonata 2013 Black,Hyundai,Sonata,2013,Foreign Used,Automatic,12000000.0
Toyota Camry 2009 Black,Toyota,Camry,2009,Local Used,Automatic,3500000.0
Toyota RAV4 Limited AWD (2.5L 4cyl 6A) 2016 Silver,Toyota,RAV4 Limited,2016,Foreign Used,Automatic,26300000.0
"Kia Optima EX 4dr Sedan (2,4L 4cyl 6A) 2012 Gray",Kia,Optima EX,2012,Local Used,Automatic,5300000.0
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 7A) 2016 Silver,Mercedes Benz,E350 Base,2016,Local Used,Automatic,20000000.0
Toyota Fortuner 2015 Gray,Toyota,Fortuner,2015,Local Used,Automatic,23414062.0
Toyota Highlander Limited 2019 Black,Toyota,Highlander Limited,2019,Foreign Used,Automatic,30500000.0
Lexus RX 350 2008 White,Lexus,RX 350,2008,Local Used,Automatic,8000000.0
Lexus RX 350 AWD 2012 Gold,Lexus,RX 350,2012,Local Used,Automatic,13500000.0
Lexus ES 330 Sedan 2004 Silver,Lexus,ES 330,2004,Local Used,Automatic,3200000.0
Honda Accord 2005 Silver,Honda,Accord,2005,Local Used,Automatic,3200000.0
Toyota 4-Runner 2004 Silver,Toyota,4-Runner,2004,Local Used,Automatic,3900000.0
New Forthing T5 2024 White,Forthing,T5,2024,Brand New,Automatic,36000000.0
Toyota RAV4 2.0 4x4 2006 Gold,Toyota,RAV4 2,2006,Local Used,Automatic,6499999.0
Hyundai Santa Fe Sport 2013 Black,Hyundai,Santa Fe,2013,Foreign Used,Automatic,14200000.0
Toyota Sienna 2014 Gray,Toyota,Sienna,2014,Foreign Used,Automatic,17592187.0
Lexus ES 350 2007 Red,Lexus,ES 350,2007,Local Used,Automatic,7200000.0
Toyota Corolla 2005 Gray,Toyota,Corolla,2005,Local Used,Automatic,4000000.0
Hyundai Sonata GLS Sedan FWD (2.4L 4cyl 6A) 2013 Silver,Hyundai,Sonata GLS,2013,Foreign Used,Automatic,8999990.0
Toyota Highlander XLE AWD 2020 Black,Toyota,Highlander XLE,2020,Local Used,Automatic,35000000.0
Toyota Corolla 2006 White,Toyota,Corolla,2006,Local Used,Automatic,5500000.0
Toyota Camry SE Sport 4dr Sedan (2.5L 4cyl 6A) 2014 Gray,Toyota,Camry SE,2014,Foreign Used,Automatic,14000000.0
Toyota Tundra 2010 Gold,Toyota,Tundra,2010,Local Used,Automatic,6800000.0
