title,make,model,year,condition,transmission,price
Lexus ES 330 2006,Lexus,ES 330,2006,local used,automatic,"₦ 6,500,000"
Lexus RX 350 F Sport AWD 2018 Black,Lexus,RX 350,2018,local used,automatic,"₦ 31,000,000"
New Zeekr 9X 2026 Black,Zeekr,9X,2026,brand new,automatic,"₦ 220,000,000"
Lexus RX 350 F Sport AWD 2016 Red,Lexus,RX 350,2016,foreign used,automatic,"₦ 58,500,000"
Lexus RX 350 FWD 2012 Gray,Lexus,RX 350,2012,foreign used,automatic,"₦ 20,500,000"
New Mercedes-Benz G-Class G63 AMG Brabus G700 2025 White,Mercedes-Benz,G-Class G63,2025,brand new,automatic,"₦ 567,000,000"
Toyota 4-Runner SR5 V8 4x4 2005 Blue,Toyota,4-Runner SR5,2005,local used,automatic,"₦ 5,800,000"
Toyota Sienna 2003 Green,Toyota,Sienna,2003,local used,automatic,"₦ 5,000,000"
Lexus GX 460 Luxury 2014 Black,Lexus,GX 460,2014,local used,automatic,"₦ 23,500,000"
Mercedes-Benz GL-Class 2008 Blue,Mercedes-Benz,GL-Class,2008,local used,automatic,"₦ 5,000,000"
Toyota Highlander 2014 Red,Toyota,Highlander,2014,foreign used,automatic,"₦ 24,450,000"
Lexus NX 2018 Gray,Lexus,NX,2018,foreign used,automatic,"₦ 37,652,343"
Hyundai Elantra 2011 Black,Hyundai,Elantra,2011,foreign used,automatic,"₦ 9,000,000"
Land Rover Defender 2022 Blue,Land,Rover Defender,2022,foreign used,automatic,"₦ 175,000,000"
Land Rover Defender 2023 Black,Land,Rover Defender,2023,foreign used,automatic,"₦ 140,000,000"
Hyundai Elantra 2011 Silver,Hyundai,Elantra,2011,foreign used,automatic,"₦ 9,000,000"
New Toyota Hilux 2024 Black,Toyota,Hilux,2024,brand new,automatic,"₦ 145,000,000"
Lexus LX 600 2022 Gray,Lexus,LX 600,2022,foreign used,automatic,"₦ 275,000,000"
Toyota Camry XSE FWD 2020 White,Toyota,Camry XSE,2020,foreign used,automatic,"₦ 35,000,000"
Lexus LX 600 2022 Gray,Lexus,LX 600,2022,foreign used,automatic,"₦ 263,000,000"
Toyota Venza 2011 Gray,Toyota,Venza,2011,local used,automatic,"₦ 9,500,000"
Hyundai Sonata 2013 Black,Hyundai,Sonata,2013,foreign used,automatic,"₦ 12,000,000"
